Name	Positions	NextGame	Salary	Min	PTs	Reb	Ast	Stl	Blk	DblDbl	TriDbl	TO	Value	AvgPts	ProjPts	IngameProj	ActPts
DeMarcus Cousins	(PF/C)	 10/24 @ POR 	$10,500	36.76	25.84	12.60	5.11	1.40	1.59	89%	4%	4.06	5.31	59.08	55.72	-	0.00
LeBron James	(SF/PF)	    10/24 vs CHI    	$10,000	36.36	27.89	8.36	7.71	1.50	0.96	63%	6%	3.80	5.49	48.42	54.86	-	0.00
Anthony Davis	(PF/C)	    10/24 @ POR 	$10,900	40.71	27.31	12.61	2.15	1.32	1.90	80%	0%	2.54	4.87	64.33	53.08	-	0.00
Damian Lillard	(PG)	 10/24 vs NO 	$8,400	35.44	26.65	4.76	5.87	1.44	0.28	14%	1%	2.96	5.37	45.58	45.10	-	0.00
Karl-Anthony Towns	(C)	  10/24 vs IND    	$8,600	36.18	21.24	12.67	2.08	0.84	1.11	77%	0%	2.04	5.21	43.08	44.83	-	0.00
Nikola Vucevic	(C)	  10/24 vs BKN    	$8,300	32.25	19.62	11.70	3.30	1.21	1.26	79%	0%	1.88	5.38	52.17	44.66	-	0.00
Kyrie Irving	(PG)	   10/24 vs NY 	$8,700	37.86	26.57	3.22	5.32	1.39	0.34	13%	1%	2.62	4.84	39.67	42.11	-	0.00
Jimmy Butler	(SG)	   10/24 vs IND    	$7,000	37.09	19.49	6.42	5.56	1.71	0.83	21%	1%	2.35	5.81	29.58	40.65	-	0.00
Blake Griffin	(PF/C)	    10/24 vs UTA    	$9,000	36.87	21.93	7.23	4.85	1.07	0.24	24%	1%	2.59	4.51	51.25	40.56	-	0.00
Kristaps Porzingis	(PF/C)	   10/24 @ BOS 	$8,500	38.56	20.19	8.74	1.95	0.85	2.15	27%	0%	2.24	4.73	48.88	40.23	-	0.00
Rudy Gobert	(C)	 10/24 @ LAC 	$7,600	33.87	16.18	11.92	1.73	0.78	2.20	75%	0%	1.92	5.24	35.00	39.83	-	0.00
DeAndre Jordan	(C)	  10/24 vs UTA    	$7,000	35.92	13.38	14.65	1.23	0.71	1.58	88%	0%	1.64	5.52	35.38	38.63	-	0.00
Kevin Love	(PF/C)	   10/24 vs CHI    	$7,400	31.81	17.38	10.30	2.32	0.99	0.89	47%	0%	1.87	5.18	36.33	38.34	-	0.00
Ricky Rubio	(PG)	    10/24 @ LAC 	$6,400	32.49	15.48	4.05	8.87	1.53	0.12	33%	1%	3.00	5.74	36.17	36.71	-	0.00
Al Horford	(PF/C)	   10/24 vs NY 	$6,700	34.21	16.99	7.01	4.70	1.02	0.76	25%	1%	1.86	5.45	32.33	36.49	-	0.00
Jusuf Nurkic	(C)	    10/24 vs NO 	$6,800	29.45	13.79	9.68	3.28	1.01	1.65	63%	1%	2.67	5.26	29.33	35.80	-	0.00
D'Angelo Russell	(PG)	   10/24 @ ORL 	$7,800	29.34	19.40	3.13	5.21	1.38	0.13	5%	0%	2.65	4.35	39.25	33.94	-	0.00
Jrue Holiday	(PG/SG)	    10/24 @ POR 	$6,500	37.66	14.36	4.22	6.81	1.49	0.66	14%	1%	2.57	5.21	27.25	33.89	-	0.00
Andrew Wiggins	(SF/PF)	  10/24 vs IND    	$6,900	38.15	22.22	4.37	1.97	1.21	0.42	5%	0%	2.00	4.88	36.25	33.68	-	0.00
C.J. McCollum	(PG/SG)	   10/24 vs NO 	$7,100	36.94	21.06	4.28	3.21	0.83	0.29	7%	0%	2.05	4.72	39.75	33.54	-	0.00
Marcus Smart	(SG/SF)	    10/24 vs NY 	$5,800	34.48	13.16	5.47	5.35	1.66	0.98	11%	2%	2.28	5.74	33.75	33.31	-	0.00
Victor Oladipo	(PG/SG)	  10/24 @ MIN 	$7,200	36.81	17.90	4.90	3.27	1.37	0.42	6%	0%	2.26	4.51	40.58	32.47	-	0.00
Lauri Markkanen	(PF)	    10/24 @ CLE 	$5,700	34.73	16.33	8.54	1.09	0.85	0.80	16%	0%	2.09	5.57	30.00	31.75	-	0.00
Aaron Gordon	(SF/PF)	    10/24 vs BKN    	$6,900	33.26	15.91	6.44	2.42	1.03	0.79	15%	0%	1.57	4.52	33.75	31.19	-	0.00
Danilo Gallinari	(SF)	   10/24 vs UTA    	$5,500	34.77	17.76	5.14	2.31	0.83	0.20	4%	0%	1.39	5.49	26.38	30.18	-	0.00
Jeff Teague	(PG)	    10/24 vs IND    	$6,200	31.97	12.42	3.80	6.40	1.09	0.42	9%	1%	2.28	4.75	29.50	29.48	-	0.00
Robin Lopez	(C)	 10/24 @ CLE 	$5,800	31.26	15.28	6.62	1.79	0.50	1.26	12%	0%	1.70	5.02	33.13	29.13	-	0.00
Justin Holiday	(SG/SF)	  10/24 @ CLE 	$5,900	33.58	15.85	3.88	3.10	1.07	0.52	2%	0%	1.60	4.89	27.75	28.83	-	0.00
Jaylen Brown	(SG/SF)	    10/24 vs NY 	$6,000	36.23	15.96	5.58	1.85	1.08	0.37	7%	0%	1.59	4.79	29.75	28.73	-	0.00
Evan Fournier	(SG/SF)	   10/24 vs BKN    	$6,100	34.18	16.82	3.38	3.23	1.17	0.15	4%	0%	2.00	4.70	35.42	28.70	-	0.00
Trevor Booker	(PF/C)	    10/24 @ ORL 	$5,800	25.86	13.34	8.17	2.00	0.70	0.34	36%	0%	1.74	4.92	31.92	28.51	-	0.00
Darren Collison	(PG)	    10/24 @ MIN 	$5,700	31.01	14.10	2.84	5.71	1.11	0.18	8%	0%	2.06	4.98	33.67	28.36	-	0.00
